598,502,502
1915,1729,1729
-676,653,653
627,-521,-521
472,-871,-871
-709,721,721
-925,-2070,-2070
1699,-2863,-2863
1674,301,301
1609,-3180,-3180
-569,-969,-969
1631,444,444
1543,-3350,-3350
-1763,318,318
4333,-3229,-3229
375,1674,1674
-793,1857,1857
1607,-939,-939
294,-3161,-3161
1211,-155,-155
-93,-1279,-1279
242,-2924,-2924
4341,-2933,-2933
-2109,-2942,-2942
-140,-1356,-1356
1912,-665,-665
567,446,446
-612,-1758,-1758
311,-3274,-3274
-715,1747,1747
-611,290,290
4305,-1728,-1728
3004,-749,-749
1844,1715,1715
251,357,357
4,-4,-4
561,-1755,-1755
472,-843,-843
-1244,-70,-70
1504,567,567
-1659,702,702
536,-1933,-1933
2260,-2406,-2406
-423,-883,-883
1820,530,530
2394,-2542,-2542
-959,-2893,-2893
-1838,-629,-629
3192,-1878,-1878
2007,711,711
-1753,430,430
251,-3315,-3315
1704,319,319
1935,-866,-866
-150,-155,-155
3157,-809,-809
1879,-500,-500
598,748,748
-1176,-152,-152
383,-604,-604
-2061,-2906,-2906
-960,-3104,-3104
2730,-1756,-1756
563,316,316
1129,7,7
1157,-2399,-2399
-2024,-441,-441
-517,-1974,-1974
-953,-2105,-2105
3021,-3210,-3210
1053,-2577,-2577
-541,508,508
552,-902,-902
1168,-2439,-2439
1677,-1877,-1877
-803,-955,-955
1679,-1768,-1768
783,1953,1953
2982,-876,-876
1872,-535,-535
1992,587,587
-2021,-522,-522
1800,-548,-548
-689,1641,1641
1482,721,721
-1660,-2006,-2006
-708,1686,1686
1844,-667,-667
-1669,-2051,-2051
658,483,483
636,1882,1882
-814,747,747
655,-2037,-2037
-880,-557,-557
354,470,470
21,1022,1022
-1905,-506,-506
2007,-494,-494
1069,3,3
398,-1643,-1643
284,-552,-552
-465,-569,-569
3865,-1854,-1854
-1169,-2396,-2396
4275,-2994,-2994
2975,-3373,-3373
653,-608,-608
1085,-153,-153
1899,-523,-523
-1820,-1639,-1639
1874,-630,-630
-2020,-3169,-3169
1940,650,650
323,-892,-892
1207,-1382,-1382
-1994,-677,-677
-912,1829,1829
1576,652,652
657,597,597
2973,-3126,-3126
-1198,-2518,-2518
618,-1918,-1918
1821,1753,1753
499,-1962,-1962
580,-719,-719
1195,-35,-35
1059,-69,-69
-1958,-2942,-2942
1482,467,467
335,-659,-659
-1961,-466,-466
1915,765,765
-469,-2808,-2808
669,357,357
-2069,-1824,-1824
-558,-1897,-1897
-577,-1750,-1750
21,-184,-184
783,357,357
-1687,323,323
616,389,389
-1969,-1810,-1810
1893,1739,1739
1784,709,709
-798,-881,-881
2852,-1806,-1806
1755,-1723,-1723
-618,-3305,-3305
-92,5,5
3049,-3044,-3044
3165,-859,-859
-24,-6,-6
-510,239,239
558,-757,-757
-633,-3169,-3169
-421,387,387
1797,701,701
1867,-1787,-1787
4297,-1735,-1735
1615,-1949,-1949
290,-658,-658
-1657,647,647
801,319,319
310,-833,-833
1477,-2812,-2812
610,334,334
1108,-1353,-1353
783,524,524
-675,-2882,-2882
689,-760,-760
3011,-1847,-1847
380,-3113,-3113
-1597,751,751
1679,623,623
1707,-428,-428
-2000,-3093,-3093
701,1932,1932
-948,1738,1738
410,-878,-878
744,-704,-704
3135,-717,-717
-906,-983,-983
1070,-1214,-1214
1544,-925,-925
-1919,-674,-674
666,1426,1426
-625,-3203,-3203
4358,-3291,-3291
-942,-1936,-1936
3074,-3060,-3060
-148,-1275,-1275
-2119,-2969,-2969
-502,424,424
1782,-640,-640
1639,-956,-956
448,-572,-572
-2025,-628,-628
-156,-1281,-1281
585,-1811,-1811
3103,-1902,-1902
-1992,-3000,-3000
-817,708,708
-852,694,694
-1230,-122,-122
-684,-1812,-1812
-878,-591,-591
